indic_is,ind_type,unit,time\geo	EU28 	EU27 	EU15 	EA 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	ME 	MK 	TR 
I_IHDLTWK,SAL_SELF_FAM,PC_IND_IUHD,2012	18 	18 	17 	19 	33 	14 	: u	17 	16 	25 	15 	30 	18 	19 	21 	22 	21 	21 	32 	23 	18 	16 	13 	17 	39 	30 	14 	31 	32 	25 	11 	14 	28 	24 	9 	21 	19 
I_IHDLTWK,STUD,PC_IND,2012	10 	9 	9 	9 	18 	2 	: u	7 	8 	10 	7 	12 	8 	10 	14 	6 	8 	8 	12 	15 	5 	9 	6 	6 	16 	12 	2 	14 	14 	17 	11 	10 	18 	6 	6 	6 	6 
I_IHDLTWK,STUD,PC_IND_IU3,2012	10 	10 	9 	9 	19 	2 	: u	7 	8 	10 	7 	12 	8 	10 	14 	7 	8 	8 	12 	15 	5 	9 	6 	6 	16 	12 	2 	14 	14 	17 	11 	11 	18 	6 	6 	6 	6 
I_IHDLTWK,STUD,PC_IND_IUHD,2012	18 	18 	15 	17 	36 	13 	: u	10 	17 	26 	14 	29 	13 	15 	17 	20 	18 	19 	26 	20 	17 	13 u	8 	9 	40 	33 	15 	24 	27 	26 	13 	12 	30 	8 	11 u	21 u	18 
I_IHDLTWK,UNE,PC_IND,2012	6 	6 	6 	5 	12 	0 n	: u	10 	3 	4 	6 	6 	7 	6 	4 	3 	4 	3 	4 	21 u	1 	2 u	10 	6 	5 	4 	0 n	6 	4 	9 	12 u	12 	16 	15 u	4 	2 	2 
I_IHDLTWK,UNE,PC_IND_IU3,2012	8 	8 	9 	8 	15 	1 	: u	10 	4 	5 	8 	10 	11 	8 	6 	5 	6 	4 	8 	22 u	2 	3 u	10 	6 	9 	7 	1 	9 	6 	10 	13 u	14 	16 	15 u	8 	3 	4 
I_IHDLTWK,UNE,PC_IND_IUHD,2012	26 	26 	25 	26 	48 	15 u	: u	22 u	23 	25 	29 	36 	28 	19 	12 	25 	23 u	23 	49 	: u	19 u	: u	19 	15 u	56 	36 	: u	28 u	26 u	25 u	20 u	24 	37 u	: u	21 	21 u	17 
I_IHDLTWK,Y0_15,PC_IND,2012	: 	: 	: 	: 	: 	: 	: 	: 	7 	10 	: 	: 	: 	: 	: 	: 	: 	7 u	: 	: 	: 	: 	: 	: 	: 	0 	: 	13 	11 	: 	: 	: 	: 	: 	: 	: 	: 
I_IHDLTWK,Y0_15,PC_IND_IU3,2012	: 	: 	: 	: 	: 	: 	: 	: 	7 	10 	: 	: 	: 	: 	: 	: 	: 	7 u	: 	: 	: 	: 	: 	: 	: 	0 	: 	14 	11 	: 	: 	: 	: 	: 	: 	: 	: 
I_IHDLTWK,Y0_15,PC_IND_IUHD,2012	: 	: 	: 	: 	: 	: 	: 	: 	30 	24 u	: 	: 	: 	: 	: 	: 	: 	16 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 u	36 	: 	: 	: 	: 	: 	: 	: 	: 
I_IHDLTWK,Y16_24,PC_IND,2012	8 	8 	8 	8 	17 	2 	: u	8 	6 	8 	7 	12 	9 	11 	11 	5 	6 	9 	11 	15 	5 	11 	6 	6 	14 	12 	1 	14 	14 	16 	7 	7 	20 	9 	6 	5 	4 
I_IHDLTWK,Y16_24,PC_IND_IU3,2012	9 	9 	8 	9 	18 	2 	: u	8 	6 	8 	7 	13 	9 	11 	11 	6 	7 	9 	11 	15 	5 	11 	6 	6 	15 	13 	2 	14 	14 	16 	7 	8 	20 	9 	7 	6 	6 
I_IHDLTWK,Y16_24,PC_IND_IUHD,2012	15 	15 	13 	16 	33 	12 	: u	11 	12 	20 	15 	31 	14 	17 	14 	19 	17 	20 	27 	20 	19 	16 	7 	9 	41 	36 	14 	24 	26 	24 	8 	9 	31 	12 	14 	21 u	18 
I_IHDLTWK,Y16_24HI,PC_IND,2012	7 	7 	7 	10 	16 	3 	: u	: u	4 	3 	3 	7 u	9 	14 	20 u	3 	5 	4 	13 	: u	9 u	3 u	2 	: u	16 	12 	2 	: u	10 	: u	: u	1 	: u	: u	2 u	: u	6 
I_IHDLTWK,Y16_24HI,PC_IND_IU3,2012	8 	7 	7 	10 	16 	3 	: u	: u	4 	3 	3 	8 u	9 	14 	20 u	3 	6 	4 	13 	: u	9 u	3 u	2 	: u	16 	12 	3 	: u	10 	: u	: u	1 	: u	: u	2 u	: u	6 
I_IHDLTWK,Y16_24HI,PC_IND_IUHD,2012	11 	11 	10 	16 	34 u	: u	: u	: u	9 	8 u	6 u	: u	13 	21 	: u	8 	11 u	9 u	29 u	: u	: u	: u	2 u	: u	40 u	25 u	8 u	: u	18 u	: u	: u	1 u	: u	: u	3 u	: u	14 
I_IHDLTWK,Y16_24LO,PC_IND,2012	9 	9 	9 	9 	17 	1 	: u	8 	7 	9 	: u	9 	9 	13 	12 u	5 	6 	8 	11 	16 	3 	10 	6 	4 	14 	11 	1 	23 	19 	17 	10 	: u	19 	7 	: u	4 	3 
I_IHDLTWK,Y16_24LO,PC_IND_IU3,2012	9 	9 	9 	9 	19 	2 	: u	8 	7 	10 	: u	11 	10 	13 	13 u	6 	6 	9 	11 	16 	3 	11 	6 	4 	15 	12 	1 	23 	20 	17 	10 	: u	19 	7 	: u	5 	5 
I_IHDLTWK,Y16_24LO,PC_IND_IUHD,2012	18 	18 	16 	18 	32 	15 u	: u	11 	14 	25 	: u	27 u	17 	20 	16 u	22 	18 	22 	28 	21 	11 	17 u	7 	5 	41 	39 	12 	40 u	35 	26 	13 	: u	29 	9 	: u	: u	19 
I_IHDLTWK,Y16_24ME,PC_IND,2012	8 	8 	8 	8 	16 	2 	: u	11 u	6 	7 	7 	13 	8 	8 	10 	6 	7 	10 	10 	14 	6 	14 	7 	8 	15 	14 	2 	9 	11 	14 	3 	9 	25 	16 u	8 	7 	6 
I_IHDLTWK,Y16_24ME,PC_IND_IU3,2012	9 	9 	8 	8 	17 	2 	: u	11 u	6 	7 	7 	14 	8 	8 	10 	7 	8 	10 	10 	14 	6 	14 	7 	8 	15 	14 	2 	10 	11 	14 	3 	10 	25 	16 u	9 	8 	7 
I_IHDLTWK,Y16_24ME,PC_IND_IUHD,2012	15 	15 	12 	14 	35 	11 	: u	: u	10 	17 	15 	33 	11 	13 	12 	19 	19 	21 	25 	19 	23 	20 	8 	11 	40 	37 	16 	16 	22 	21 	3 	11 	37 	19 u	21 u	28 u	18 
I_IHDLTWK,Y25_34,PC_IND,2012	7 	7 	7 	7 	14 	2 	: u	8 	5 	11 	7 	7 	8 	9 	9 	4 	5 	6 	7 	11 	3 	8 	8 	8 	10 	9 	2 	10 	13 	17 	9 	7 	13 	9 	3 	4 	3 
I_IHDLTWK,Y25_34,PC_IND_IU3,2012	8 	8 	8 	8 	15 	2 	: u	8 	6 	12 	8 	8 	9 	9 	10 	5 	7 	6 	8 	11 	3 	9 	8 	8 	12 	10 	2 	11 	14 	17 	9 	7 	13 	9 	4 	5 	5 
I_IHDLTWK,Y25_34,PC_IND_IUHD,2012	16 	16 	14 	17 	31 	14 	: u	11 	13 	32 	16 	24 	17 	16 	16 	21 	20 	21 	32 	17 	17 	17 	12 	14 	37 	36 	15 	27 	30 	24 	12 	9 	22 	12 	9 	18 	20 
I_IHDLTWK,Y25_54,PC_IND,2012	6 	6 	7 	6 	12 	1 	: u	10 	5 	6 	6 	5 	7 	8 	7 	3 	4 	4 	4 	12 	2 	5 	8 	7 	7 	4 	1 	7 	10 	15 	9 	10 	13 	15 	3 	3 	2 
I_IHDLTWK,Y25_54,PC_IND_IU3,2012	8 	8 	8 	7 	13 	2 	: u	10 	5 	7 	7 	8 	9 	8 	9 	5 	6 	5 	5 	13 	3 	7 	8 	8 	9 	6 	2 	9 	11 	15 	9 	11 	14 	16 	5 	4 	4 
I_IHDLTWK,Y25_54,PC_IND_IUHD,2012	20 	20 	19 	21 	34 	14 	: u	16 	18 	28 	18 	31 	21 	20 	21 	22 	21 	22 	36 	23 	17 	16 	16 	18 	40 	31 	15 	30 	32 	26 	13 	15 	28 	23 	13 	20 	20 
I_IHDLTWK,Y25_54HI,PC_IND,2012	9 	9 	9 	8 	13 	3 	: u	10 	7 	7 	7 	7 	8 	9 	14 	6 	7 	5 	7 	14 	4 	6 	7 	8 	13 	9 	2 	17 	13 	16 	11 	10 	17 	18 	3 	4 	5 
I_IHDLTWK,Y25_54HI,PC_IND_IU3,2012	9 	9 	9 	8 	13 	4 	: u	10 	7 	8 	7 	8 	9 	9 	14 	7 	8 	5 	7 	14 	4 	6 	7 	8 	13 	9 	3 	17 	13 	16 	11 	11 	17 	18 	3 	4 	5 
I_IHDLTWK,Y25_54HI,PC_IND_IUHD,2012	18 	18 	17 	19 	31 	14 	: u	15 	19 	26 	15 	24 	17 	16 	25 	23 	22 	20 	33 	24 	17 	11 	11 	14 	37 	31 	11 	41 	31 	25 	14 	13 	27 	25 	7 	10 	17 
I_IHDLTWK,Y25_54LO,PC_IND,2012	4 	4 	4 	4 	10 	0 n	: u	10 	3 	6 	5 	1 	5 	6 	0 	1 	1 	2 	1 	4 	0 n	3 	8 	4 	1 	1 	0 	0 	4 	15 	19 u	3 	9 	15 	4 	0 n	1 
I_IHDLTWK,Y25_54LO,PC_IND_IU3,2012	6 	6 	6 	6 	14 	1 	: u	11 	4 	9 	8 	5 	8 	8 	0 u	3 	3 	3 	4 	5 	0 n	5 	8 	6 	2 	3 	0 	0 u	11 u	16 	21 u	5 	9 	16 	: u	1 	3 
I_IHDLTWK,Y25_54LO,PC_IND_IUHD,2012	22 	22 	22 	24 	45 	: u	: u	18 	20 	70 u	31 	: u	24 	23 	: u	24 	: u	19 u	: u	11 u	: u	18 	22 	24 u	: u	24 	: u	: u	: u	32 	32 u	10 u	27 	26 u	: u	: u	25 
I_IHDLTWK,Y25_54ME,PC_IND,2012	6 	6 	7 	6 	12 	1 	: u	9 	4 	5 	6 	6 	9 	8 	7 	3 	2 	3 	3 	14 	2 	9 	10 	8 	5 	7 	1 	5 	9 	14 	6 	11 	13 	15 	3 	4 	3 
