indic_is,ind_type,unit,time\geo	EU28 	EU27 	EU15 	EA 	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	ME 	MK 	TR 
I_IHDLTWK,Y55_64,PC_IND_IU3,2012	6 	6 	6 	5 	9 	1 	: u	10 	3 	1 	5 	4 	7 	4 	3 	3 	4 	1 	1 	15 	2 	7 	6 	8 	4 	1 	1 	6 	6 	9 	8 	12 	8 	14 	2 u	4 	2 
I_IHDLTWK,Y55_64,PC_IND_IUHD,2012	29 	30 	29 	28 	41 	10 u	: u	31 	26 	: u	32 	: u	33 	25 	22 u	29 	35 u	22 u	53 u	48 	23 	: u	25 	30 	51 	9 u	29 u	: u	39 u	34 	22 	31 	37 	36 	: u	: u	35 u
I_IHDLTWK,Y55_74,PC_IND,2012	3 	3 	3 	2 	4 	0 n	: u	8 	2 	0 n	3 	1 	2 	2 	1 	1 	1 	1 	0 n	10 	1 	2 	4 	3 	1 	0 n	0 n	2 	2 	6 	7 	7 	6 	10 	0 n	1 	0 n
I_IHDLTWK,Y55_74,PC_IND_IU3,2012	5 	5 	6 	4 	8 	1 	: u	10 	3 	1 	5 	4 	6 	4 	3 	3 	4 	2 	1 	13 	2 	6 	5 	6 	4 	1 	1 	5 	5 	8 	9 	11 	7 	13 	2 	5 	2 
I_IHDLTWK,Y55_74,PC_IND_IUHD,2012	31 	31 	30 	29 	37 	20 u	: u	33 	29 	: u	35 	37 u	31 	25 	21 	30 	33 u	32 u	61 u	46 	21 	32 u	25 	31 	53 	13 u	28 u	: u	34 u	37 	27 	33 	42 	39 	: u	: u	30 u
I_IHDLTWK,Y55_74HI,PC_IND,2012	6 	6 	6 	5 	9 	1 	: u	11 	3 	1 	7 	3 	6 	5 	3 	3 	4 	1 	2 	13 	2 	8 u	6 	5 	6 	1 	0 n	4 	6 	13 	10 	11 	11 	15 	0 	3 u	1 
I_IHDLTWK,Y55_74HI,PC_IND_IU3,2012	7 	7 	7 	6 	11 	2 	: u	11 	4 	1 	8 	5 	8 	5 	4 	4 	7 	2 	2 	13 	3 	8 u	6 	6 	9 	1 	0 n	4 	8 	14 	10 	12 	11 	15 	0 u	4 u	2 
I_IHDLTWK,Y55_74HI,PC_IND_IUHD,2012	29 	29 	28 	27 	40 	18 u	: u	32 	27 	: u	36 	: u	29 	22 	25 u	25 	37 u	20 u	66 u	44 u	26 u	: u	20 	20 	57 u	10 u	: u	: u	: u	43 	24 	31 	48 u	37 u	: u	: u	: u
I_IHDLTWK,Y55_74LO,PC_IND,2012	1 	1 	1 	1 	3 	0 	: u	6 	1 	0 	1 	0 	1 	1 	0 	0 n	0 	0 n	0 	5 	0 n	1 	2 	0 n	0 	0 n	0 n	1 	0 	1 	5 	3 	3 	5 	0 	0 n	0 
I_IHDLTWK,Y55_74LO,PC_IND_IU3,2012	4 	4 	4 	3 	7 	0 u	: u	9 	2 	0 u	2 	0 u	4 	3 	: u	3 	0 u	3 u	: u	10 u	1 	5 	3 	1 	0 u	1 	2 u	: u	: u	3 	8 	7 	4 	8 u	: u	5 u	0 
I_IHDLTWK,Y55_74LO,PC_IND_IUHD,2012	32 	32 	32 	32 	38 	: 	: u	33 	: u	: u	22 u	: u	48 u	26 	: 	42 u	: 	: u	: 	: u	: u	: u	29 u	: u	: 	: u	: u	: u	: u	: u	: u	29 u	: u	: u	: u	: u	: u
I_IHDLTWK,Y55_74ME,PC_IND,2012	3 	3 	4 	2 	4 	0 n	: u	8 	2 	0 n	3 	0 n	3 	3 	1 	2 	0 	1 	0 n	11 	0 n	4 u	4 	4 	1 	0 	0 n	2 	1 	4 	7 	8 	7 	10 	1 	1 	1 
I_IHDLTWK,Y55_74ME,PC_IND_IU3,2012	5 	5 	6 	4 	6 	1 	: u	10 	3 	1 	6 	1 	5 	4 	3 	3 	0 	1 	0 n	14 	1 	6 u	5 	7 	2 	0 	2 	5 	4 	5 	9 	11 	7 	12 	4 u	5 	3 
I_IHDLTWK,Y55_74ME,PC_IND_IUHD,2012	33 	33 	32 	31 	31 	: u	: u	33 	29 	: u	40 	: u	27 	28 	18 u	32 	: u	: u	: u	45 u	17 u	: u	34 	43 	46 u	: u	: u	: u	33 u	28 	26 	37 	40 u	45 u	: u	: u	: u
I_IHDLTWK,Y65_74,PC_IND,2012	2 	2 	2 	1 	2 	0 n	: u	6 	1 	0 n	2 	0 n	1 	1 	0 n	0 n	1 	1 	0 n	6 	0 n	1 	2 	1 	0 n	0 n	0 	0 n	0 	4 	7 	5 	5 	6 	0 n	1 	0 
I_IHDLTWK,Y65_74,PC_IND_IU3,2012	4 	4 	5 	3 	5 	4 	: u	9 	3 	1 	5 	1 u	3 	3 	2 	3 	4 	3 	2 	8 	0 n	3 u	3 	4 	3 	1 	0 	2 u	0 	7 	9 	8 	6 	9 	: u	9 u	0 
I_IHDLTWK,Y65_74,PC_IND_IUHD,2012	35 	35 	35 	32 	26 	: u	: u	36 	37 	: u	47 	: u	23 u	29 	: u	37 u	: u	: u	: u	39 u	: u	: u	28 	33 u	: u	: u	: u	: u	: u	47 u	37 u	39 	: u	: u	: u	: u	: u
I_IHDLTWK,Y75_MAX,PC_IND,2012	: 	: 	: 	: 	: 	: 	: u	: 	0 n	: 	: 	: 	0 n	: 	: 	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	1 	: 	7 	: 	: 	: 
I_IHDLTWK,Y75_MAX,PC_IND_IU3,2012	: 	: 	: 	: 	: 	: 	: u	: 	2 	: 	: 	: 	1 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	5 	: 	15 u	: 	: 	: 
I_IHDLTWK,Y75_MAX,PC_IND_IUHD,2012	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 	: u	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 	: 
I_IHDUSE,CB_EU_FOR,PC_IND,2012	22 	22 	22 	18 	26 	: u	: u	32 	10 	22 u	26 	14 u	22 	25 	: 	: u	13 	5 	0 u	33 	12 	22 u	39 	30 	9 u	14 	: 	: u	18 u	45 u	43 u	56 	29 	49 u	: 	: 	: 
I_IHDUSE,CB_EU_FOR,PC_IND_IU3,2012	30 	30 	30 	25 	33 	: u	: u	33 	15 	38 u	30 	17 u	30 	34 	: 	: u	18 	8 u	: u	37 	15 	: u	41 u	34 	: u	17 	: 	: u	22 u	47 u	48 u	67 u	30 	51 u	: 	: 	: 
I_IHDUSE,CB_EU_FOR,PC_IND_IUHD,2012	82 	82 	82 	81 	82 	: u	: u	72 u	81 	: u	81 	: u	78 	85 	: 	: u	81 	: u	: u	76 	: u	: u	79 u	88 	: u	59 u	: 
